12	12	8	10	34	27	21	7	8	3	35	27	21	12	6	24	38	7	10	15	3	26	15	38	15	24	6	15	6	29	33	13	26	11	20	32	23	13	11	17	16	14	21	28	16	16	5	1	11	12	25	37	36	18	9	29	29	28	28	4	26	18	8	4	32	7	6	25	34	20	27	6	36	21	26	1	31	29	5	20	12	21	15	16	7	10	1	35	25	36	6	35	30	22	17	10	29	9	2	29	26	27	25	16	15	31	12	31	30	33	19	24	36	17	2	33	24	14	38	9	25	23	15	5	1	16	7	28	14	32	28	22	7	37	10	35	9	14	3	24	7	2	28	13	25	15	24	1	35	31	29	31	15	24	22	20	11	10	17	9	31	38	1	20	3	31	38	3	36	1	26	30	20	34	34	24	5	8	7	2	4	24	36	14	16	38	36	26	38	29	13	25	9	11	26	20	16	23	29	22	21	22	20	3	28	38	14	37	13	34	17	16	8	5	12	28	30	29	70	131	192	218	192	131	70	29	27	0	32	35	29	2	14	27	28	9	10	26	18	24	9	7	32	29	36	4	7	4	19	7	34	4	2	21	30	12
7	13	8	20	35	24	4	15	2	19	17	38	31	19	34	5	15	35	35	27	24	13	36	5	28	25	32	15	29	32	12	21	37	21	13	24	14	29	16	19	27	37	13	32	28	36	1	14	25	11	9	27	24	23	25	2	13	17	9	27	33	11	28	5	32	5	22	14	31	19	19	34	14	17	37	2	37	7	26	22	26	14	24	31	1	3	37	25	9	15	5	10	10	13	6	13	5	34	4	36	15	2	13	28	30	21	26	34	2	12	2	7	28	28	34	22	3	35	31	11	21	38	27	32	17	18	21	10	29	19	25	12	5	18	14	30	30	26	5	1	21	12	36	38	11	31	34	23	34	36	21	28	22	1	17	25	20	14	36	32	32	14	23	33	36	26	8	25	3	16	26	36	31	19	29	16	37	38	33	15	17	9	30	34	35	21	23	6	34	17	8	34	29	34	11	26	25	5	16	11	27	11	34	32	15	19	27	32	23	22	12	17	27	34	28	1	26	20	48	90	131	149	131	90	48	20	17	17	4	31	12	9	13	14	21	21	15	15	20	25	36	28	15	32	5	2	3	6	12	12	0	21	4	6	24	33
37	22	38	21	20	13	16	19	3	34	2	17	32	15	23	31	34	36	7	10	34	23	19	23	31	20	8	17	16	37	24	27	28	13	20	21	6	21	27	16	32	28	14	17	15	30	28	16	27	36	30	27	4	15	23	18	2	9	32	1	33	3	26	19	8	22	5	26	23	2	2	6	1	17	32	24	20	33	4	35	4	20	5	21	0	29	32	35	38	19	10	4	19	22	29	3	25	20	7	36	23	17	36	25	17	32	20	21	26	14	9	22	33	16	4	17	11	15	32	15	15	14	5	10	3	16	10	11	16	5	19	27	9	30	3	15	0	8	0	7	5	10	7	5	23	34	36	8	18	14	20	10	3	17	7	1	37	16	37	29	0	26	27	25	21	8	30	9	14	34	33	15	12	23	35	35	23	13	33	17	35	1	20	27	7	13	7	12	15	21	2	21	11	9	9	6	37	36	31	28	7	14	7	0	12	27	24	21	17	11	19	29	29	22	29	25	5	11	25	48	70	79	70	48	25	11	19	13	4	6	8	26	17	27	10	0	20	11	36	35	15	1	26	32	37	2	17	22	26	28	25	28	14	22	4	2
37	11	23	37	7	7	13	36	15	10	6	15	14	5	17	4	24	0	22	30	9	17	22	2	19	25	8	32	37	32	19	11	29	9	37	24	23	7	3	10	33	35	27	28	9	22	31	15	38	3	12	20	2	28	21	20	32	33	30	12	17	29	4	4	10	20	37	27	12	11	33	35	24	10	3	32	22	36	2	22	11	32	7	17	15	32	26	8	12	5	26	22	6	6	18	35	21	1	2	31	17	15	30	14	20	27	33	13	25	37	3	22	16	12	10	29	38	7	30	7	38	31	16	28	19	31	14	3	23	35	7	17	29	1	36	29	21	7	19	20	38	33	37	26	15	36	18	9	15	27	21	29	38	37	20	37	4	2	12	22	20	34	21	17	21	27	1	31	5	18	10	14	25	6	11	8	7	13	34	18	15	7	37	16	32	24	14	34	30	18	31	34	16	13	23	35	27	14	28	36	21	21	12	3	7	4	18	0	35	25	0	1	8	17	5	0	28	14	11	20	29	33	29	20	11	30	17	17	2	2	3	23	9	32	33	37	19	8	9	21	29	13	18	24	35	6	27	22	17	34	15	253	7	24	24	13
31	38	38	5	9	1	23	4	16	34	21	14	8	17	37	5	18	33	2	26	37	11	5	26	35	23	34	7	29	13	16	6	31	24	28	31	3	36	19	29	28	32	6	17	24	36	32	34	22	22	33	1	34	16	1	29	6	6	23	10	12	15	16	15	23	6	7	4	12	29	9	28	27	32	32	11	12	20	12	32	31	21	10	26	9	17	15	21	38	29	38	9	20	2	29	23	33	38	36	16	0	21	8	8	12	4	29	29	21	13	32	21	37	34	14	21	13	24	30	29	5	31	1	16	28	30	14	28	34	9	5	9	13	11	35	2	23	6	32	6	19	38	14	2	8	15	13	9	36	26	37	17	36	0	23	31	9	36	29	32	22	30	13	9	12	22	32	11	15	33	24	38	8	32	26	10	18	15	23	31	4	31	32	14	16	22	27	28	29	15	16	37	22	33	11	24	23	37	3	19	20	3	35	34	17	30	6	24	10	17	32	8	12	18	13	31	38	6	9	27	14	11	37	37	25	33	15	24	38	21	36	28	19	24	34	8	15	38	15	25	34	38	25	4	1	24	22	37	29	25	20	10	37	21	1	27
20	2	34	13	9	4	12	9	25	3	11	11	34	17	29	23	30	4	37	32	2	18	12	24	9	22	23	23	17	1	20	16	4	18	17	21	31	27	33	2	8	18	37	30	17	13	2	28	19	8	16	6	29	14	36	1	32	24	21	25	28	4	34	1	11	7	35	3	22	24	25	33	2	31	20	27	8	21	27	37	17	3	2	24	30	26	13	36	20	36	3	8	30	35	30	11	6	32	30	10	9	12	32	31	22	22	11	27	30	17	17	18	11	26	35	35	29	10	26	5	5	7	6	22	3	31	28	35	19	25	34	21	11	37	1	12	37	14	12	5	35	5	13	34	19	24	22	27	1	20	1	32	13	32	9	22	36	2	2	1	26	23	4	30	24	3	3	5	30	4	9	9	4	33	27	28	25	20	12	25	4	6	1	37	37	5	18	25	11	29	21	16	10	29	34	28	16	36	10	20	37	10	10	35	3	11	23	8	24	31	19	25	30	9	23	4	20	32	35	19	11	25	35	20	37	8	4	11	15	16	12	27	4	15	11	12	4	23	11	6	0	11	21	33	2	35	5	32	31	35	5	19	15	7	22	23
8	20	38	19	27	16	1	11	31	13	3	20	14	28	20	31	31	7	5	31	24	1	34	20	21	23	29	33	15	3	28	13	32	14	32	7	5	34	2	26	28	17	15	37	15	17	6	12	12	34	9	12	16	27	5	33	3	18	1	29	27	8	26	21	33	21	34	16	14	19	10	36	18	10	16	27	15	7	33	22	14	8	8	20	17	28	3	32	26	5	33	8	23	21	6	0	30	29	16	2	22	7	28	20	10	35	29	34	3	7	28	27	30	19	16	23	33	26	20	11	27	15	22	34	32	34	36	31	0	0	3	10	1	16	13	21	35	11	13	33	13	5	26	80	26	19	33	15	27	24	17	18	36	3	11	17	22	34	18	17	29	18	33	18	19	19	9	3	3	34	35	9	33	27	33	36	5	15	38	25	34	18	1	24	9	20	28	23	23	28	17	9	16	0	23	37	4	1	34	9	0	31	5	34	4	13	23	22	26	25	17	5	29	9	25	33	3	37	1	32	32	2	21	36	12	31	23	30	31	2	11	25	19	37	29	22	11	10	34	17	31	4	33	1	34	34	20	5	7	27	32	1	29	37	13	24
13	8	30	28	11	22	16	4	1	19	11	13	11	7	15	27	8	25	17	17	7	7	24	10	21	36	27	26	37	30	23	36	2	10	38	30	18	26	16	15	8	15	1	18	13	37	21	32	16	18	32	38	20	35	28	22	37	32	37	25	15	18	35	1	6	18	21	2	25	34	4	17	11	38	23	10	5	21	32	32	32	8	21	33	5	33	34	8	3	18	32	18	16	19	5	5	33	23	10	33	2	18	28	13	15	20	34	30	3	11	15	33	16	9	23	18	34	36	31	27	28	34	2	13	0	32	19	14	9	20	11	3	3	3	16	5	17	34	14	5	22	33	80	244	80	13	2	5	3	28	17	26	27	22	24	34	25	33	18	5	16	30	38	30	16	3	27	35	52	65	71	65	52	35	12	26	25	20	27	19	19	19	36	15	4	9	26	32	28	249	28	37	8	29	22	15	20	19	25	28	12	3	32	15	30	7	4	35	34	38	33	1	21	38	20	33	3	38	35	22	17	13	28	1	14	35	10	21	18	19	12	36	38	20	38	17	16	8	7	32	28	20	32	20	21	8	22	5	2	26	23	8	16	24	21	5
6	0	16	19	6	26	1	5	36	37	1	19	33	9	32	31	24	0	15	35	26	14	24	9	22	38	33	11	26	14	38	3	10	31	3	20	31	28	5	17	13	18	22	6	35	24	6	22	36	30	26	18	10	22	10	12	35	34	30	35	7	20	24	35	25	15	28	31	23	3	35	2	20	5	15	31	9	34	27	14	10	10	29	2	26	24	29	37	15	10	34	31	18	3	22	7	20	14	12	28	20	30	8	26	2	31	26	36	4	35	20	24	12	3	33	6	14	24	38	20	38	9	15	27	2	29	16	31	15	12	38	27	16	4	28	24	3	5	38	19	1	2	26	80	26	5	34	18	21	19	3	34	11	10	23	18	14	25	36	16	46	87	108	87	46	16	39	60	89	113	122	113	89	60	35	24	11	8	17	1	34	23	8	20	2	33	17	21	22	28	26	14	3	17	2	28	1	36	28	36	20	9	10	29	38	14	29	4	23	16	28	10	4	17	24	5	17	25	32	12	15	34	27	9	29	50	111	50	11	11	0	14	17	12	11	9	36	33	15	18	22	19	10	38	7	33	1	13	29	25	6	36	21	10	22	35
34	18	17	12	2	29	5	14	15	34	1	32	11	10	19	28	8	8	37	23	12	37	34	7	0	27	33	5	1	23	23	20	0	26	36	33	4	14	9	21	23	12	31	30	30	13	2	27	38	6	4	35	18	33	31	7	9	2	23	30	20	1	38	19	13	7	24	22	29	6	14	6	33	13	11	0	31	19	21	33	44	28	26	7	21	37	23	31	38	34	8	1	17	1	18	36	10	15	17	32	32	17	15	35	28	28	36	20	30	17	32	15	28	37	20	16	8	12	4	14	13	13	31	20	20	30	5	24	13	13	22	33	8	26	34	8	11	19	34	19	11	20	22	16	1	27	19	15	2	14	9	8	31	15	2	14	30	6	35	30	87	165	204	165	87	30	59	89	132	167	181	167	132	89	52	12	13	8	29	3	36	6	11	26	5	20	28	36	28	29	16	9	20	20	8	32	25	31	30	18	12	26	38	29	32	27	23	29	19	33	3	37	4	21	15	4	28	23	30	22	31	22	36	33	10	111	243	111	10	19	30	18	32	12	37	11	3	29	32	35	13	31	21	18	31	36	3	27	9	15	10	32	38	25	27	36
