13	34	29	17	15	14	17	15	3	17	23	12	16	4	18
15	4	25	38	26	16	25	36	23	28	25	19	36	23	24
1	5	9	17	36	53	67	72	67	53	36	20	38	27	37
8	14	16	36	62	92	116	125	116	92	62	36	37	7	52
23	11	35	53	92	136	172	186	172	136	92	53	0	11	115
2	16	27	67	116	172	217	235	217	172	116	67	37	21	56
32	13	36	72	125	186	235	255	236	188	127	73	36	29	36
2	12	36	67	116	172	218	239	236	203	134	71	0	6	29
28	6	5	53	92	136	173	204	255	255	180	71	26	6	2
20	25	29	36	62	92	118	157	255	255	210	67	11	23	34
4	23	11	19	36	53	68	91	155	201	124	19	21	2	17
31	12	13	25	1	30	26	40	19	31	19	35	2	26	28
2	27	7	38	20	21	10	14	20	20	18	6	8	25	23
4	36	31	28	30	22	14	6	34	35	29	14	19	25	11
29	25	13	2	16	18	20	32	38	15	7	38	26	36	24
